productpurchasemethod_product,productpurchasemethod_purchasemethod
1,2
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,1
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
11,2
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,1
32,
33,
34,
35,
36,
37,
38,
39,
40,
31,2
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,1
62,
63,
64,
65,
66,
67,
68,
69,
70,
61,2
62,
63,
64,
65,
66,
67,
68,
69,
70,
